ID Produto,Qualidade,Temperatura ar [K],Temperatura processo [K],Velocidade rotação [rpm],Torque [Nm],Desgaste [min],Falha,Tipo falha
B50917,Baixa,302.2,311.1,1351.0,48.6,110.0,0.0,Sem falha
M21480,Média,301.6,310.7,1791.0,23.8,81.0,0.0,Sem falha
M24748,Média,298.8,309.6,1575.0,34.4,149.0,0.0,Sem falha
B49714,Baixa,298.9,308.7,1729.0,26.6,73.0,0.0,Sem falha
M19709,Média,303.5,312.0,1475.0,42.9,85.0,0.0,Sem falha
M21201,Média,300.4,309.8,1421.0,47.2,0.0,0.0,Sem falha
B48621,Baixa,298.8,309.9,1550.0,38.8,53.0,0.0,Sem falha
M20552,Média,302.4,311.9,1313.0,55.7,102.0,0.0,Sem falha
B55217,Baixa,300.7,311.8,1603.0,34.1,17.0,0.0,Sem falha
B50738,Baixa,301.7,310.6,1743.0,26.2,71.0,0.0,Sem falha
M17902,Média,300.2,309.4,1459.0,43.9,39.0,0.0,Sem falha
B52459,Baixa,303.6,313.0,1522.0,35.8,133.0,0.0,Sem falha
M20883,Média,300.7,310.9,1369.0,51.2,63.0,0.0,Sem falha
M23807,Média,297.3,308.2,1452.0,38.2,44.0,0.0,Sem falha
B47953,Baixa,296.8,308.0,1510.0,39.4,29.0,0.0,Sem falha
M22607,Média,300.5,311.8,1331.0,55.3,167.0,0.0,Sem falha
M18475,Média,301.8,311.1,1647.0,31.6,6.0,0.0,Sem falha
M23020,Média,299.7,311.1,1618.0,30.3,125.0,0.0,Sem falha
B50835,Baixa,302.1,311.4,1686.0,30.9,106.0,0.0,Sem falha
B49907,Baixa,299.7,309.3,1434.0,38.5,127.0,0.0,Sem falha
B51052,Baixa,302.7,311.9,1389.0,46.5,15.0,0.0,Sem falha
B51362,Baixa,302.4,310.7,1362.0,54.8,155.0,1.0,Superaquecimento
B53911,Baixa,301.6,310.9,1385.0,51.2,132.0,0.0,Sem falha
B48066,Baixa,295.7,306.2,1458.0,40.6,103.0,0.0,Sem falha
B51985,Baixa,303.6,312.6,1606.0,33.6,184.0,0.0,Sem falha
B55418,Baixa,299.1,310.4,1519.0,45.3,92.0,0.0,Sem falha
M20473,Média,303.0,312.3,1483.0,38.8,114.0,0.0,Sem falha
B55886,Baixa,297.2,308.6,1335.0,53.0,39.0,0.0,Sem falha
B50450,Baixa,301.4,310.1,1937.0,21.8,205.0,0.0,Sem falha
B48536,Baixa,298.6,309.9,1593.0,37.4,47.0,0.0,Sem falha
M17047,Média,299.8,309.4,1439.0,47.4,57.0,0.0,Sem falha
M19705,Média,303.3,311.8,1583.0,33.3,72.0,0.0,Sem falha
M15965,Média,296.6,307.5,1734.0,27.0,50.0,0.0,Sem falha
M18068,Média,300.2,309.1,1406.0,42.2,40.0,0.0,Sem falha
M20158,Média,303.7,313.1,2130.0,18.1,185.0,0.0,Sem falha
A37683,Alta,299.2,310.8,1761.0,30.4,180.0,0.0,Sem falha
B49590,Baixa,299.1,308.5,1689.0,32.1,192.0,0.0,Sem falha
A32203,Alta,300.3,309.5,1438.0,44.0,59.0,0.0,Sem falha
B56151,Baixa,296.9,307.6,1514.0,35.7,100.0,0.0,Sem falha
B55336,Baixa,299.6,310.8,1644.0,30.9,114.0,0.0,Sem falha
M22467,Média,300.5,311.3,1468.0,41.1,34.0,0.0,Sem falha
B47634,Baixa,297.4,308.7,1468.0,46.6,94.0,0.0,Sem falha
M17819,Média,300.7,309.4,1589.0,35.0,52.0,0.0,Sem falha
B51140,Baixa,302.2,311.4,1390.0,48.1,40.0,0.0,Sem falha
B55823,Baixa,297.5,308.5,1448.0,54.3,83.0,0.0,Sem falha
B55903,Baixa,297.2,308.6,1578.0,34.4,76.0,0.0,Sem falha
B50283,Baixa,299.8,309.1,1668.0,30.3,200.0,0.0,Sem falha
M16375,Média,298.2,308.9,1614.0,35.5,15.0,0.0,Sem falha
B51439,Baixa,302.7,311.2,1545.0,35.1,128.0,0.0,Sem falha
M24026,Média,297.6,308.6,1390.0,53.4,175.0,0.0,Sem falha
M16744,Média,298.0,307.6,1792.0,26.0,119.0,0.0,Sem falha
B54873,Baixa,300.6,311.6,1964.0,21.4,15.0,0.0,Sem falha
B49448,Baixa,299.2,308.5,1438.0,46.6,63.0,0.0,Sem falha
M16341,Média,298.2,309.2,1332.0,60.2,147.0,0.0,Sem falha
B56667,Baixa,298.9,309.6,1583.0,39.8,202.0,0.0,Sem falha
B52738,Baixa,302.5,311.9,1553.0,40.1,187.0,0.0,Sem falha
M22248,Média,299.8,310.6,1694.0,31.3,121.0,0.0,Sem falha
B49472,Baixa,299.6,308.9,1422.0,53.2,120.0,0.0,Sem falha
M22131,Média,300.3,310.4,1293.0,49.7,37.0,0.0,Sem falha
B50505,Baixa,301.5,310.6,1587.0,33.7,122.0,0.0,Sem falha
M19052,Média,302.5,311.0,1463.0,43.1,181.0,0.0,Sem falha
M18808,Média,302.2,311.3,1510.0,37.1,10.0,0.0,Sem falha
B56777,Baixa,298.9,310.1,1510.0,38.0,52.0,0.0,Sem falha
B47941,Baixa,296.7,307.8,1646.0,34.6,238.0,0.0,Sem falha
B49863,Baixa,299.8,309.5,1590.0,28.5,23.0,0.0,Sem falha
B49489,Baixa,299.1,308.6,1611.0,31.4,161.0,0.0,Sem falha
B49789,Baixa,299.4,309.2,1621.0,34.5,48.0,0.0,Sem falha
M15851,Média,296.1,307.0,1523.0,42.0,164.0,0.0,Sem falha
B51878,Baixa,303.4,311.6,1564.0,41.9,137.0,0.0,Sem falha
M18133,Média,301.3,309.9,1565.0,36.0,213.0,0.0,Sem falha
B47677,Baixa,297.4,309.0,1505.0,39.2,209.0,0.0,Sem falha
M17500,Média,299.9,309.5,1372.0,56.2,133.0,0.0,Sem falha
B56081,Baixa,297.3,308.6,1446.0,50.1,144.0,0.0,Sem falha
B50821,Baixa,302.3,311.6,1488.0,41.8,75.0,0.0,Sem falha
B48222,Baixa,296.6,307.6,1542.0,37.4,88.0,0.0,Sem falha
B52362,Baixa,303.9,313.1,1586.0,31.9,108.0,0.0,Sem falha
A37179,Alta,300.3,311.6,1427.0,56.2,8.0,0.0,Sem falha
B56016,Baixa,297.4,308.9,1708.0,28.8,174.0,0.0,Sem falha
M16280,Média,298.8,309.9,1495.0,35.2,214.0,0.0,Sem falha
B50550,Baixa,301.4,310.7,1584.0,32.2,17.0,0.0,Sem falha
A38189,Alta,297.5,308.6,1536.0,38.7,7.0,0.0,Sem falha
B56603,Baixa,298.1,308.5,1676.0,30.5,22.0,0.0,Sem falha
B55216,Baixa,300.7,311.7,1460.0,46.1,15.0,0.0,Sem falha
B53741,Baixa,301.5,310.7,1596.0,35.4,150.0,0.0,Sem falha
B53101,Baixa,300.5,310.3,1336.0,57.1,29.0,0.0,Sem falha
B49855,Baixa,299.7,309.3,1574.0,35.8,6.0,0.0,Sem falha
B56758,Baixa,299.4,310.7,1551.0,41.2,3.0,0.0,Sem falha
M16639,Média,298.6,308.2,1488.0,44.0,43.0,0.0,Sem falha
B52666,Baixa,302.6,312.2,1520.0,43.0,208.0,0.0,Sem falha
M22325,Média,300.1,311.4,1390.0,52.1,94.0,0.0,Sem falha
B53916,Baixa,301.7,311.0,1527.0,42.2,144.0,0.0,Sem falha
M24276,Média,298.1,308.5,1463.0,45.9,3.0,0.0,Sem falha
M19737,Média,303.7,312.4,1546.0,33.7,149.0,0.0,Sem falha
B51876,Baixa,303.4,311.6,1449.0,41.7,132.0,0.0,Sem falha
A38448,Alta,297.4,308.2,1585.0,46.2,37.0,0.0,Sem falha
B55171,Baixa,301.1,312.3,1534.0,39.0,129.0,0.0,Sem falha
M16241,Média,298.8,310.2,1583.0,35.7,116.0,0.0,Sem falha
M16026,Média,297.1,308.1,1506.0,37.7,210.0,0.0,Sem falha
M24016,Média,297.5,308.4,1369.0,54.8,145.0,0.0,Sem falha
M19767,Média,303.6,312.5,1607.0,33.7,14.0,0.0,Sem falha
B48381,Baixa,296.9,308.0,1658.0,41.0,74.0,0.0,Sem falha
B55134,Baixa,301.0,311.9,1454.0,41.9,33.0,0.0,Sem falha
B51997,Baixa,303.5,312.1,1674.0,30.8,0.0,0.0,Sem falha
B50652,Baixa,301.8,310.7,1523.0,43.3,60.0,0.0,Sem falha
B49118,Baixa,298.1,307.9,1517.0,40.8,50.0,0.0,Sem falha
B56404,Baixa,297.9,309.0,1450.0,46.8,118.0,0.0,Sem falha
M22502,Média,300.4,311.4,1604.0,31.7,119.0,0.0,Sem falha
M19550,Média,303.4,311.5,1483.0,43.0,117.0,0.0,Sem falha
B48602,Baixa,298.7,309.8,1530.0,35.5,0.0,0.0,Sem falha
B50814,Baixa,302.2,311.4,1499.0,37.7,55.0,0.0,Sem falha
M17577,Média,299.5,309.1,1422.0,45.3,103.0,0.0,Sem falha
B56167,Baixa,297.2,307.9,1580.0,35.8,140.0,0.0,Sem falha
B48900,Baixa,298.2,307.7,1459.0,44.5,89.0,0.0,Sem falha
B49519,Baixa,299.2,308.2,1466.0,41.3,8.0,0.0,Sem falha
B56901,Baixa,298.8,309.8,1490.0,40.6,124.0,0.0,Sem falha
M16060,Média,296.9,308.0,1430.0,55.9,71.0,0.0,Sem falha
B49195,Baixa,298.5,308.2,1301.0,66.3,42.0,1.0,Falha por potência
B54037,Baixa,301.1,311.3,1622.0,35.6,34.0,0.0,Sem falha
A36780,Alta,299.6,310.1,1531.0,36.8,62.0,0.0,Sem falha
M17851,Média,300.5,309.7,1341.0,50.9,137.0,0.0,Sem falha
B54022,Baixa,301.2,311.2,1635.0,29.6,211.0,0.0,Sem falha
M23868,Média,297.4,308.0,1440.0,42.4,190.0,0.0,Sem falha
M20202,Média,303.5,312.8,1375.0,45.7,89.0,0.0,Sem falha
M20211,Média,303.5,312.9,1530.0,34.5,110.0,0.0,Sem falha
B51023,Baixa,302.5,311.2,1227.0,60.1,167.0,0.0,Sem falha
M19840,Média,303.7,312.8,1685.0,31.8,203.0,0.0,Sem falha
M24566,Média,299.0,310.1,1705.0,30.1,84.0,0.0,Sem falha
B51365,Baixa,302.2,310.6,1348.0,48.4,161.0,1.0,Superaquecimento
M23846,Média,297.1,307.8,1443.0,43.9,137.0,0.0,Sem falha
B56817,Baixa,299.2,310.3,1463.0,38.9,160.0,0.0,Sem falha
M17793,Média,300.8,309.7,1751.0,27.9,183.0,0.0,Sem falha
B54825,Baixa,300.4,311.4,1662.0,29.3,129.0,0.0,Sem falha
B53619,Baixa,300.6,310.1,1656.0,32.7,44.0,0.0,Sem falha
A32554,Alta,300.4,309.9,2563.0,12.8,81.0,1.0,Falha por potência
B50503,Baixa,301.5,310.5,1589.0,36.7,118.0,0.0,Sem falha
B49650,Baixa,298.9,308.5,1467.0,44.7,136.0,0.0,Sem falha
M20187,Média,303.5,312.7,2116.0,16.7,45.0,0.0,Sem falha
B50252,Baixa,300.1,309.0,1314.0,58.2,114.0,0.0,Sem falha
B54728,Baixa,300.2,311.4,1495.0,43.6,95.0,0.0,Sem falha
B48317,Baixa,296.9,307.8,1653.0,29.7,137.0,0.0,Sem falha
B53138,Baixa,300.6,310.8,1533.0,38.5,117.0,0.0,Sem falha
B54192,Baixa,300.4,310.4,1298.0,61.4,19.0,0.0,Sem falha
B47581,Baixa,297.5,308.5,1722.0,30.4,178.0,0.0,Sem falha
M18457,Média,301.7,310.5,1724.0,33.0,171.0,0.0,Sem falha
A33492,Alta,302.1,310.7,1294.0,62.4,101.0,1.0,Superaquecimento
B56836,Baixa,299.0,310.1,1623.0,33.0,210.0,0.0,Sem falha
M21877,Média,300.7,310.6,1474.0,37.0,33.0,0.0,Sem falha
M15778,Média,295.3,305.7,1473.0,38.5,189.0,0.0,Sem falha
B53441,Baixa,301.1,310.6,1417.0,47.6,10.0,0.0,Sem falha
B52091,Baixa,303.5,312.3,1681.0,29.8,25.0,0.0,Sem falha
M20800,Média,300.6,310.6,1427.0,52.8,75.0,0.0,Sem falha
B53666,Baixa,300.5,309.8,1939.0,21.4,164.0,0.0,Sem falha
B54195,Baixa,300.5,310.5,1452.0,42.9,29.0,0.0,Sem falha
B47187,Baixa,298.1,308.6,1527.0,40.2,16.0,0.0,Sem falha
M20153,Média,303.9,313.4,1464.0,49.1,171.0,0.0,Sem falha
B47786,Baixa,297.9,309.8,1461.0,50.5,38.0,0.0,Sem falha
B50429,Baixa,301.1,309.8,1493.0,38.9,149.0,0.0,Sem falha
B56793,Baixa,299.0,310.2,1377.0,62.5,92.0,1.0,Falha por potência
B47493,Baixa,298.0,308.6,1313.0,50.8,170.0,0.0,Sem falha
B52105,Baixa,303.4,312.3,1680.0,30.6,67.0,0.0,Sem falha
B52962,Baixa,301.7,311.1,1455.0,39.8,118.0,0.0,Sem falha
M18980,Média,302.1,310.7,1376.0,46.3,210.0,1.0,Superaquecimento
B47658,Baixa,297.4,309.0,1833.0,22.6,161.0,0.0,Sem falha
M21577,Média,301.4,310.6,1464.0,48.6,96.0,0.0,Sem falha
B55516,Baixa,298.9,309.7,1449.0,48.8,147.0,0.0,Sem falha
B53137,Baixa,300.7,310.9,1637.0,37.2,115.0,0.0,Sem falha
B52696,Baixa,302.6,312.0,1674.0,32.2,70.0,0.0,Sem falha
M19894,Média,303.9,313.1,1514.0,41.1,121.0,0.0,Sem falha
A29743,Alta,297.7,308.5,1720.0,29.9,210.0,0.0,Sem falha
B55730,Baixa,298.3,309.2,1456.0,45.5,75.0,0.0,Sem falha
B48943,Baixa,298.2,307.6,1511.0,31.0,209.0,1.0,Desgaste
B51194,Baixa,302.1,311.0,1740.0,30.8,182.0,0.0,Sem falha
B49025,Baixa,297.7,307.2,1444.0,40.0,17.0,0.0,Sem falha
B52500,Baixa,303.4,312.7,1363.0,45.5,26.0,0.0,Sem falha
M23965,Média,297.3,308.2,1677.0,34.9,21.0,0.0,Sem falha
M24108,Média,298.3,309.1,1488.0,40.6,176.0,0.0,Sem falha
B55927,Baixa,297.3,308.5,1504.0,42.0,142.0,0.0,Sem falha
B54680,Baixa,300.2,311.8,1410.0,51.4,189.0,0.0,Sem falha
A39163,Alta,298.8,310.1,1483.0,45.4,192.0,0.0,Sem falha
M16540,Média,297.9,307.4,1610.0,34.6,219.0,0.0,Sem falha
B55816,Baixa,297.5,308.4,1723.0,27.3,67.0,0.0,Sem falha
B50564,Baixa,301.3,310.6,1426.0,40.7,54.0,0.0,Sem falha
A36867,Alta,300.3,311.7,1432.0,47.7,61.0,0.0,Sem falha
M15557,Média,297.6,308.8,1453.0,39.7,69.0,0.0,Sem falha
B51034,Baixa,302.4,311.0,1338.0,67.6,194.0,1.0,Falha por potência
B54005,Baixa,301.0,310.9,1828.0,25.1,166.0,0.0,Sem falha
M22212,Média,299.7,310.2,1440.0,42.8,30.0,0.0,Sem falha
M20519,Média,302.3,311.5,1674.0,30.0,12.0,0.0,Sem falha
B56707,Baixa,299.1,310.4,1550.0,43.9,79.0,0.0,Sem falha
M19461,Média,303.0,311.1,1372.0,54.3,117.0,1.0,Superaquecimento
B51262,Baixa,302.0,310.4,1568.0,39.2,112.0,0.0,Sem falha
M24771,Média,298.6,309.0,1481.0,40.8,6.0,0.0,Sem falha
B47465,Baixa,298.2,308.3,1568.0,36.0,92.0,0.0,Sem falha
M16354,Média,298.0,308.7,1377.0,48.5,181.0,0.0,Sem falha
B52030,Baixa,303.5,312.0,1441.0,56.8,88.0,0.0,Sem falha
B50716,Baixa,302.0,311.0,1632.0,34.2,18.0,0.0,Sem falha
B56078,Baixa,297.4,308.6,1532.0,38.7,136.0,0.0,Sem falha
M23954,Média,297.3,308.1,1370.0,58.8,199.0,0.0,Sem falha
B47212,Baixa,299.0,309.4,1419.0,48.3,91.0,0.0,Sem falha
M24019,Média,297.5,308.6,1510.0,35.5,155.0,0.0,Sem falha
B51038,Baixa,302.5,311.4,1559.0,37.6,209.0,0.0,Sem falha
B48119,Baixa,295.5,306.1,1488.0,40.7,31.0,0.0,Sem falha
B53437,Baixa,301.1,310.7,1376.0,49.1,0.0,0.0,Sem falha
A34262,Alta,303.5,312.0,1397.0,52.9,80.0,0.0,Sem falha
B49314,Baixa,299.3,309.0,1473.0,46.3,146.0,0.0,Sem falha
M22922,Média,300.3,311.6,1359.0,54.1,81.0,0.0,Sem falha
A33674,Alta,302.7,311.1,1418.0,43.4,130.0,0.0,Sem falha
B57115,Baixa,298.4,308.3,1452.0,48.5,73.0,0.0,Sem falha
B49102,Baixa,298.0,307.8,1716.0,26.6,9.0,0.0,Sem falha
B52626,Baixa,303.1,312.9,1511.0,40.1,107.0,0.0,Sem falha
M16537,Média,297.9,307.5,1647.0,30.8,212.0,0.0,Sem falha
B51690,Baixa,302.4,310.2,1346.0,62.4,106.0,1.0,Superaquecimento
A38038,Alta,297.5,308.4,1490.0,39.7,34.0,0.0,Sem falha
B53015,Baixa,301.3,311.2,1668.0,30.1,18.0,0.0,Sem falha
B49939,Baixa,299.7,309.1,1483.0,41.1,208.0,0.0,Sem falha
B53446,Baixa,300.8,310.4,1368.0,46.8,21.0,0.0,Sem falha
M16174,Média,299.0,310.3,1635.0,34.5,168.0,0.0,Sem falha
M17221,Média,299.2,308.6,1631.0,35.4,64.0,0.0,Sem falha
M20184,Média,303.4,312.8,1526.0,30.8,37.0,0.0,Sem falha
B56540,Baixa,298.0,308.6,1532.0,42.6,54.0,0.0,Sem falha
B56506,Baixa,298.6,309.3,1677.0,31.2,180.0,0.0,Sem falha
B56160,Baixa,297.0,307.6,1513.0,42.4,124.0,0.0,Sem falha
B48810,Baixa,297.9,307.9,1412.0,44.5,85.0,0.0,Sem falha
M24593,Média,298.9,310.1,1442.0,42.9,153.0,0.0,Sem falha
B56887,Baixa,299.0,310.1,1699.0,32.9,87.0,0.0,Sem falha
B52347,Baixa,304.2,313.4,1639.0,32.7,63.0,0.0,Sem falha
B48684,Baixa,298.0,308.7,1506.0,47.0,208.0,0.0,Sem falha
A32504,Alta,300.1,309.3,1448.0,45.8,163.0,0.0,Sem falha
M18654,Média,302.2,310.8,1356.0,48.3,36.0,0.0,Sem falha
M22470,Média,300.5,311.3,1507.0,43.4,41.0,0.0,Sem falha
B51020,Baixa,302.4,311.0,1610.0,33.1,161.0,0.0,Sem falha
M20887,Média,300.7,311.0,1413.0,44.3,72.0,0.0,Sem falha
B52033,Baixa,303.7,312.2,1487.0,34.0,94.0,0.0,Sem falha
B52315,Baixa,304.1,313.3,1883.0,24.5,190.0,0.0,Sem falha
A38756,Alta,298.3,308.9,1706.0,31.8,8.0,0.0,Sem falha
M24261,Média,297.7,308.2,1720.0,25.6,174.0,0.0,Sem falha
M19487,Média,303.0,311.2,1592.0,38.9,188.0,0.0,Sem falha
B56952,Baixa,298.5,309.5,1561.0,34.8,35.0,0.0,Sem falha
B49123,Baixa,298.1,308.0,1704.0,30.9,61.0,0.0,Sem falha
B50830,Baixa,302.1,311.4,1446.0,39.7,95.0,0.0,Sem falha
B49809,Baixa,300.0,309.7,1586.0,37.8,103.0,0.0,Sem falha
A33269,Alta,302.4,311.1,1578.0,32.3,196.0,0.0,Sem falha
M16231,Média,298.7,310.3,1495.0,38.7,88.0,0.0,Sem falha
B49387,Baixa,299.8,309.2,1591.0,37.5,109.0,0.0,Sem falha
B56612,Baixa,298.0,308.7,1619.0,40.1,45.0,0.0,Sem falha
M21259,Média,300.1,309.6,1501.0,38.0,157.0,0.0,Sem falha
B52715,Baixa,302.3,311.7,1465.0,43.5,117.0,0.0,Sem falha
B47694,Baixa,297.4,309.2,1620.0,33.2,28.0,0.0,Sem falha
B56133,Baixa,297.3,308.0,1518.0,36.0,59.0,0.0,Sem falha
B54784,Baixa,300.4,311.3,1639.0,34.6,24.0,0.0,Sem falha
M17183,Média,299.2,308.7,1401.0,47.0,198.0,0.0,Sem falha
B49720,Baixa,299.1,308.8,1502.0,38.3,88.0,0.0,Sem falha
M19806,Média,303.7,312.7,1669.0,31.7,120.0,0.0,Sem falha
B56037,Baixa,297.7,308.9,1742.0,26.3,24.0,0.0,Sem falha
B50227,Baixa,300.2,309.4,1558.0,38.3,51.0,0.0,Sem falha
M17286,Média,298.9,308.2,1372.0,63.6,30.0,1.0,Falha por potência
M17132,Média,299.3,308.6,1448.0,52.1,71.0,0.0,Sem falha
B51850,Baixa,303.2,311.4,1610.0,35.5,63.0,0.0,Sem falha
M22719,Média,300.5,311.9,1370.0,44.8,20.0,0.0,Sem falha
M21860,Média,300.6,310.6,1463.0,45.5,196.0,0.0,Sem falha
B49731,Baixa,299.3,309.2,1541.0,37.2,118.0,0.0,Sem falha
B50005,Baixa,300.3,309.4,1470.0,33.5,148.0,0.0,Sem falha
B50175,Baixa,300.5,309.8,1550.0,37.4,148.0,0.0,Sem falha
M17218,Média,299.2,308.4,1381.0,42.5,54.0,0.0,Sem falha
B50544,Baixa,301.4,310.5,1633.0,39.5,0.0,0.0,Sem falha
B52922,Baixa,302.3,311.7,1414.0,47.0,11.0,0.0,Sem falha
B56393,Baixa,298.0,309.0,1679.0,32.4,90.0,0.0,Sem falha
M17050,Média,299.6,309.1,1471.0,44.3,67.0,0.0,Sem falha
B47355,Baixa,298.2,308.1,1382.0,43.5,37.0,0.0,Sem falha
B49211,Baixa,298.8,308.6,1331.0,62.8,81.0,0.0,Sem falha
B51448,Baixa,302.7,311.0,1694.0,29.8,150.0,0.0,Sem falha
B52016,Baixa,303.3,311.8,1315.0,62.0,42.0,1.0,Superaquecimento
M24351,Média,299.0,309.7,1489.0,40.7,212.0,0.0,Sem falha
B56266,Baixa,297.1,307.8,1428.0,43.7,179.0,0.0,Sem falha
A37585,Alta,300.0,311.4,1641.0,34.5,155.0,0.0,Sem falha
B48595,Baixa,298.7,309.9,1617.0,33.0,203.0,0.0,Sem falha
B49761,Baixa,299.2,309.1,1345.0,60.7,191.0,1.0,Sobrecarga
M22664,Média,299.9,311.4,1480.0,44.9,108.0,0.0,Sem falha
