ID Produto,Qualidade,Temperatura ar [K],Temperatura processo [K],Velocidade rotação [rpm],Torque [Nm],Desgaste [min],Falha,Tipo falha
A30685,Alta,298.0,309.4,1490.0,40.5,53.0,0.0,Sem falha
B47325,Baixa,298.5,308.4,1513.0,33.6,172.0,0.0,Sem falha
B56247,Baixa,297.1,308.2,1351.0,56.6,126.0,0.0,Sem falha
M24155,Média,298.2,309.0,1413.0,47.9,97.0,0.0,Sem falha
M24761,Média,298.7,309.2,1423.0,48.9,187.0,0.0,Sem falha
B50723,Baixa,301.8,310.9,1449.0,36.5,33.0,0.0,Sem falha
B53249,Baixa,300.9,310.9,1601.0,34.0,181.0,0.0,Sem falha
B55601,Baixa,298.9,310.3,1496.0,36.3,161.0,0.0,Sem falha
B50446,Baixa,301.3,310.1,1269.0,56.8,195.0,1.0,Sobrecarga
A33239,Alta,302.2,310.7,1413.0,48.9,114.0,0.0,Sem falha
B54795,Baixa,300.5,311.4,1442.0,47.0,53.0,0.0,Sem falha
B55770,Baixa,297.4,307.9,1557.0,35.5,174.0,0.0,Sem falha
B47682,Baixa,297.6,309.2,1390.0,43.3,221.0,0.0,Sem falha
B47380,Baixa,298.4,308.6,1609.0,35.0,103.0,0.0,Sem falha
B56244,Baixa,297.2,308.4,1833.0,25.2,117.0,0.0,Sem falha
B56360,Baixa,297.9,309.1,1507.0,36.9,13.0,0.0,Sem falha
B54367,Baixa,300.4,310.5,1402.0,54.3,44.0,0.0,Sem falha
M20932,Média,300.9,310.8,1695.0,30.2,188.0,0.0,Sem falha
B53212,Baixa,300.7,310.8,1754.0,27.7,84.0,0.0,Sem falha
B49260,Baixa,299.3,309.2,2280.0,15.4,207.0,0.0,Sem falha
B56771,Baixa,299.2,310.4,1570.0,37.3,37.0,0.0,Sem falha
B54419,Baixa,299.8,310.1,1553.0,42.0,177.0,0.0,Sem falha
M19238,Média,301.9,309.6,1385.0,45.8,217.0,0.0,Sem falha
B55088,Baixa,300.7,312.3,1715.0,26.8,146.0,0.0,Sem falha
B56803,Baixa,298.9,310.1,1356.0,47.8,116.0,0.0,Sem falha
M15427,Média,297.7,309.7,1680.0,30.2,168.0,0.0,Sem falha
M23346,Média,298.5,309.5,1501.0,40.2,114.0,0.0,Sem falha
B55384,Baixa,299.4,310.9,1751.0,27.8,10.0,0.0,Sem falha
M23664,Média,297.5,308.6,1255.0,60.7,77.0,0.0,Sem falha
B54061,Baixa,301.0,311.4,1573.0,37.6,103.0,0.0,Sem falha
B48528,Baixa,298.7,310.2,1363.0,45.5,28.0,0.0,Sem falha
B48467,Baixa,298.5,309.6,1419.0,41.5,105.0,0.0,Sem falha
M15822,Média,295.8,306.6,1480.0,43.2,92.0,0.0,Sem falha
B53338,Baixa,301.1,311.0,1677.0,29.1,188.0,0.0,Sem falha
B56282,Baixa,297.3,308.3,1494.0,38.2,14.0,0.0,Sem falha
B50606,Baixa,301.5,310.5,1380.0,48.7,160.0,0.0,Sem falha
M20248,Média,302.8,312.3,1432.0,49.0,218.0,0.0,Sem falha
B53789,Baixa,301.5,310.4,1474.0,39.9,53.0,0.0,Sem falha
A37132,Alta,300.6,311.7,1427.0,44.6,87.0,0.0,Sem falha
B47902,Baixa,297.5,308.9,1427.0,44.7,135.0,0.0,Sem falha
M16723,Média,297.9,307.7,1517.0,39.5,69.0,0.0,Sem falha
M17478,Média,299.4,309.1,1461.0,48.6,70.0,0.0,Sem falha
M16420,Média,298.2,308.4,1510.0,39.9,134.0,0.0,Sem falha
B49627,Baixa,299.3,308.7,1408.0,48.7,85.0,0.0,Sem falha
A39098,Alta,298.9,309.9,1376.0,51.0,32.0,0.0,Sem falha
B48206,Baixa,296.4,307.4,1512.0,36.8,46.0,0.0,Sem falha
A30736,Alta,298.9,310.1,1452.0,49.9,187.0,0.0,Sem falha
M17279,Média,298.9,308.2,1328.0,49.2,11.0,0.0,Sem falha
M19036,Média,302.3,310.7,1544.0,39.7,141.0,0.0,Sem falha
A34347,Alta,303.4,312.2,1554.0,36.8,85.0,0.0,Sem falha
B48263,Baixa,297.0,307.8,1683.0,32.3,197.0,0.0,Sem falha
B56140,Baixa,297.3,307.9,1797.0,24.7,75.0,0.0,Sem falha
B55902,Baixa,297.2,308.6,1366.0,50.4,74.0,0.0,Sem falha
B48868,Baixa,297.9,307.4,1606.0,35.5,14.0,0.0,Sem falha
M24788,Média,298.4,308.5,1576.0,27.4,55.0,0.0,Sem falha
M19514,Média,303.1,311.0,1510.0,47.6,16.0,0.0,Sem falha
B47701,Baixa,297.5,309.4,1497.0,35.8,44.0,0.0,Sem falha
B50898,Baixa,302.4,311.4,1450.0,44.1,56.0,0.0,Sem falha
A35932,Alta,301.0,310.0,1212.0,67.9,30.0,0.0,Sem falha
M16233,Média,298.8,310.3,1366.0,59.0,94.0,0.0,Sem falha
B54481,Baixa,300.1,310.4,1554.0,39.4,115.0,0.0,Sem falha
B55402,Baixa,299.0,310.5,1755.0,27.9,56.0,0.0,Sem falha
B51591,Baixa,302.5,310.3,1688.0,31.6,66.0,0.0,Sem falha
B55220,Baixa,300.8,311.9,1498.0,39.3,23.0,0.0,Sem falha
B48204,Baixa,296.2,307.3,1711.0,29.9,42.0,0.0,Sem falha
B54342,Baixa,300.2,310.2,1378.0,43.9,193.0,0.0,Sem falha
M20321,Média,302.9,312.3,1339.0,52.1,145.0,0.0,Sem falha
B48202,Baixa,296.2,307.2,1515.0,36.5,38.0,0.0,Sem falha
B55594,Baixa,298.6,309.8,1842.0,20.1,142.0,0.0,Sem falha
A37244,Alta,299.9,311.2,1495.0,35.8,175.0,0.0,Sem falha
M20548,Média,302.3,311.7,1423.0,44.6,93.0,0.0,Sem falha
M21464,Média,301.5,310.6,1573.0,37.4,37.0,0.0,Sem falha
M15952,Média,296.9,307.6,1685.0,32.0,10.0,0.0,Sem falha
B53270,Baixa,300.9,310.8,1708.0,29.1,14.0,0.0,Sem falha
M20529,Média,302.2,311.5,1479.0,39.5,36.0,0.0,Sem falha
M15097,Média,298.0,308.1,1552.0,36.6,190.0,0.0,Sem falha
M19103,Média,302.4,310.9,1435.0,42.3,83.0,0.0,Sem falha
B52998,Baixa,301.3,311.0,1539.0,36.9,206.0,0.0,Sem falha
B56306,Baixa,297.4,308.5,1477.0,40.7,74.0,0.0,Sem falha
B49131,Baixa,298.0,307.8,1839.0,22.7,79.0,0.0,Sem falha
A32278,Alta,300.6,309.4,1380.0,47.6,246.0,1.0,Desgaste
M17445,Média,299.0,308.7,1620.0,35.4,199.0,0.0,Sem falha
M18661,Média,302.2,310.9,1771.0,27.6,54.0,0.0,Sem falha
B56131,Baixa,297.3,308.1,1763.0,28.4,54.0,0.0,Sem falha
B48070,Baixa,295.6,306.0,1370.0,52.4,115.0,0.0,Sem falha
B51054,Baixa,302.6,311.7,1254.0,54.1,19.0,0.0,Sem falha
B48063,Baixa,295.7,306.3,1490.0,34.3,97.0,0.0,Sem falha
B56411,Baixa,298.2,309.1,1539.0,36.5,134.0,0.0,Sem falha
B56507,Baixa,298.5,309.2,1504.0,33.7,182.0,0.0,Sem falha
M17853,Média,300.5,309.8,1370.0,55.9,143.0,0.0,Sem falha
B48017,Baixa,296.6,307.4,1465.0,47.8,187.0,0.0,Sem falha
B52583,Baixa,302.7,312.3,1858.0,25.4,2.0,0.0,Sem falha
B55213,Baixa,300.7,311.9,1485.0,38.8,9.0,0.0,Sem falha
M19387,Média,302.4,310.5,1372.0,45.7,144.0,1.0,Superaquecimento
B48646,Baixa,298.7,309.8,1365.0,50.5,111.0,0.0,Sem falha
B47954,Baixa,296.8,307.9,1448.0,48.8,31.0,0.0,Sem falha
B53660,Baixa,300.7,309.9,1775.0,26.6,149.0,0.0,Sem falha
M15849,Média,296.2,307.0,2119.0,18.3,159.0,0.0,Sem falha
B55108,Baixa,300.6,311.7,1497.0,43.6,198.0,0.0,Sem falha
B52591,Baixa,302.8,312.6,1462.0,39.4,22.0,0.0,Sem falha
B52758,Baixa,302.5,312.2,1574.0,38.7,30.0,0.0,Sem falha
M15399,Média,297.4,309.3,1775.0,25.8,91.0,0.0,Sem falha
M17926,Média,300.1,309.2,1457.0,44.3,98.0,0.0,Sem falha
M17762,Média,300.6,309.4,1541.0,35.2,105.0,0.0,Sem falha
M17564,Média,299.7,309.2,1608.0,34.4,68.0,0.0,Sem falha
B53615,Baixa,300.3,309.9,1621.0,34.1,36.0,0.0,Sem falha
M21226,Média,299.9,309.5,2065.0,18.1,62.0,0.0,Sem falha
B57144,Baixa,298.3,307.9,1766.0,26.5,145.0,0.0,Sem falha
B51179,Baixa,302.0,311.0,1420.0,45.9,144.0,0.0,Sem falha
B51405,Baixa,302.1,310.7,1359.0,49.3,41.0,1.0,Superaquecimento
B54929,Baixa,300.4,311.6,1674.0,33.0,172.0,0.0,Sem falha
B47348,Baixa,298.4,308.3,1433.0,62.3,20.0,1.0,Falha por potência
B49637,Baixa,299.0,308.6,1661.0,32.2,106.0,0.0,Sem falha
B47606,Baixa,297.4,308.5,1501.0,44.9,20.0,0.0,Sem falha
B55420,Baixa,299.0,310.4,1483.0,41.5,96.0,0.0,Sem falha
B50178,Baixa,300.5,309.7,1616.0,34.5,155.0,0.0,Sem falha
B51734,Baixa,302.6,310.5,1748.0,28.2,2.0,0.0,Sem falha
B54320,Baixa,300.5,309.9,1382.0,46.5,134.0,0.0,Sem falha
B56182,Baixa,297.1,307.8,1477.0,36.6,177.0,0.0,Sem falha
B48894,Baixa,298.2,307.8,1388.0,48.6,76.0,0.0,Sem falha
B54690,Baixa,300.5,311.8,1524.0,38.9,214.0,1.0,Desgaste
M23377,Média,298.3,309.6,1469.0,54.8,191.0,0.0,Sem falha
A39125,Alta,299.1,310.1,1429.0,42.9,96.0,0.0,Sem falha
M15169,Média,297.9,308.5,1449.0,40.8,157.0,0.0,Sem falha
M20973,Média,300.7,310.8,1724.0,30.0,76.0,0.0,Sem falha
B53126,Baixa,300.7,310.8,1496.0,46.4,90.0,0.0,Sem falha
M19777,Média,303.4,312.2,1561.0,38.2,45.0,0.0,Sem falha
B48574,Baixa,299.1,310.4,1527.0,44.0,149.0,0.0,Sem falha
A34970,Alta,302.5,312.0,1357.0,42.0,179.0,0.0,Sem falha
M19124,Média,302.6,311.0,1542.0,39.7,141.0,0.0,Sem falha
B54211,Baixa,300.7,310.8,1479.0,49.1,71.0,0.0,Sem falha
M22134,Média,300.2,310.3,1478.0,38.1,45.0,0.0,Sem falha
A33006,Alta,301.6,310.4,1369.0,45.4,156.0,0.0,Sem falha
M16090,Média,297.1,308.4,1880.0,23.5,155.0,0.0,Sem falha
M21662,Média,301.1,310.7,1621.0,31.0,108.0,0.0,Sem falha
B53059,Baixa,301.4,311.0,1701.0,28.4,127.0,0.0,Sem falha
B47421,Baixa,298.0,308.1,1777.0,24.3,200.0,0.0,Sem falha
B47286,Baixa,298.8,308.7,1445.0,48.5,70.0,0.0,Sem falha
M15122,Média,298.1,308.2,1736.0,26.8,27.0,0.0,Sem falha
B48865,Baixa,297.9,307.3,1824.0,26.3,5.0,0.0,Sem falha
M23185,Média,298.7,309.5,1500.0,38.8,116.0,0.0,Sem falha
B51811,Baixa,303.0,311.2,1383.0,44.6,198.0,0.0,Sem falha
B49700,Baixa,298.8,308.6,1535.0,41.2,40.0,0.0,Sem falha
M16899,Média,299.0,308.9,1449.0,39.6,105.0,0.0,Sem falha
B48259,Baixa,297.0,307.7,1731.0,28.5,186.0,0.0,Sem falha
B54511,Baixa,299.8,310.3,1524.0,34.2,196.0,0.0,Sem falha
B51913,Baixa,303.3,311.6,1484.0,44.6,223.0,0.0,Sem falha
B56372,Baixa,297.9,309.0,1562.0,35.8,40.0,0.0,Sem falha
B51521,Baixa,301.7,309.8,1398.0,46.0,109.0,0.0,Sem falha
B51311,Baixa,301.9,310.3,1485.0,46.3,24.0,0.0,Sem falha
B50644,Baixa,301.7,310.6,1303.0,59.7,42.0,0.0,Sem falha
B50432,Baixa,301.1,309.7,1668.0,30.8,158.0,0.0,Sem falha
B49386,Baixa,299.9,309.2,1436.0,52.0,107.0,0.0,Sem falha
B52242,Baixa,304.0,312.9,1313.0,53.9,202.0,0.0,Sem falha
B52364,Baixa,304.0,313.0,1397.0,42.4,113.0,0.0,Sem falha
B52122,Baixa,303.5,312.6,1602.0,34.2,108.0,0.0,Sem falha
B53697,Baixa,301.1,310.1,1540.0,36.6,28.0,0.0,Sem falha
A37057,Alta,300.4,311.4,1427.0,50.7,122.0,0.0,Sem falha
M20511,Média,302.5,312.0,1447.0,45.7,210.0,0.0,Sem falha
B55352,Baixa,299.9,311.4,1596.0,28.9,160.0,0.0,Sem falha
B51124,Baixa,302.2,311.2,1381.0,49.4,207.0,0.0,Sem falha
B54382,Baixa,300.0,309.7,1326.0,61.9,80.0,0.0,Sem falha
B53665,Baixa,300.6,309.8,1629.0,37.6,162.0,0.0,Sem falha
B49190,Baixa,298.6,308.3,1278.0,60.5,32.0,0.0,Sem falha
M20909,Média,300.9,311.0,1567.0,34.3,130.0,0.0,Sem falha
B47463,Baixa,298.2,308.2,1469.0,43.0,88.0,0.0,Sem falha
M21631,Média,301.2,310.7,1962.0,22.5,28.0,0.0,Sem falha
B50977,Baixa,302.1,310.8,1622.0,36.8,45.0,0.0,Sem falha
B55257,Baixa,300.3,311.8,1547.0,39.7,121.0,0.0,Sem falha
M19947,Média,304.0,313.0,1685.0,28.2,66.0,0.0,Sem falha
B49180,Baixa,298.4,308.1,1279.0,53.1,9.0,0.0,Sem falha
B53328,Baixa,301.1,311.2,1564.0,37.0,165.0,0.0,Sem falha
B48013,Baixa,296.6,307.4,1616.0,28.0,175.0,0.0,Sem falha
B57122,Baixa,298.4,308.1,1375.0,50.8,94.0,0.0,Sem falha
A34643,Alta,303.9,313.1,1790.0,26.7,17.0,0.0,Sem falha
B54023,Baixa,301.3,311.3,1509.0,42.5,213.0,0.0,Sem falha
M19385,Média,302.4,310.4,1463.0,42.2,139.0,0.0,Sem falha
M19406,Média,302.5,310.4,1429.0,43.2,191.0,0.0,Sem falha
B50443,Baixa,301.3,310.0,1344.0,54.8,186.0,0.0,Sem falha
B54368,Baixa,300.4,310.4,1286.0,56.8,46.0,0.0,Sem falha
B50072,Baixa,300.7,309.6,1329.0,54.3,80.0,0.0,Sem falha
B51505,Baixa,301.6,310.2,1384.0,57.1,68.0,0.0,Sem falha
B50393,Baixa,300.4,309.2,1752.0,29.0,52.0,0.0,Sem falha
B47949,Baixa,296.9,308.0,1343.0,44.5,15.0,0.0,Sem falha
M21195,Média,300.4,309.8,1430.0,43.4,198.0,0.0,Sem falha
B51814,Baixa,303.0,311.2,1755.0,30.4,205.0,0.0,Sem falha
B56208,Baixa,297.4,308.3,1395.0,48.7,21.0,0.0,Sem falha
B57128,Baixa,298.2,307.8,1804.0,25.1,108.0,0.0,Sem falha
M19952,Média,303.9,313.2,1608.0,40.6,79.0,0.0,Sem falha
B52163,Baixa,303.8,313.1,1869.0,25.8,211.0,0.0,Sem falha
M20115,Média,303.5,313.0,1403.0,51.9,77.0,0.0,Sem falha
B48966,Baixa,298.4,308.2,1618.0,33.0,61.0,0.0,Sem falha
B47955,Baixa,296.7,307.8,1453.0,46.0,33.0,0.0,Sem falha
M23700,Média,297.3,308.7,1542.0,37.0,184.0,0.0,Sem falha
A31594,Alta,299.6,309.2,1597.0,36.3,35.0,0.0,Sem falha
B53621,Baixa,300.7,310.2,1639.0,31.4,48.0,0.0,Sem falha
A37297,Alta,300.7,312.3,1446.0,45.4,86.0,0.0,Sem falha
B54259,Baixa,300.7,310.5,1445.0,41.1,201.0,0.0,Sem falha
B48256,Baixa,296.9,307.7,1653.0,35.9,177.0,0.0,Sem falha
M17356,Média,299.2,308.9,1573.0,37.4,212.0,0.0,Sem falha
B53566,Baixa,300.2,309.7,1656.0,34.3,120.0,0.0,Sem falha
A34917,Alta,302.6,312.0,1657.0,29.3,37.0,0.0,Sem falha
B50185,Baixa,300.5,309.9,1503.0,37.4,175.0,0.0,Sem falha
B56600,Baixa,298.0,308.4,1472.0,42.0,15.0,0.0,Sem falha
B53331,Baixa,301.1,311.2,1555.0,35.3,172.0,0.0,Sem falha
B49104,Baixa,297.9,307.7,1353.0,50.7,13.0,0.0,Sem falha
B55988,Baixa,297.4,308.6,1446.0,48.1,88.0,0.0,Sem falha
B55451,Baixa,299.1,310.7,1309.0,51.1,188.0,0.0,Sem falha
B50093,Baixa,300.7,309.6,1541.0,34.6,131.0,0.0,Sem falha
B48889,Baixa,298.2,307.8,1749.0,26.1,66.0,0.0,Sem falha
M19801,Média,303.6,312.7,1699.0,31.5,105.0,0.0,Sem falha
M18030,Média,300.4,309.7,1685.0,32.3,167.0,0.0,Sem falha
B48613,Baixa,298.8,309.8,1363.0,44.0,25.0,0.0,Sem falha
B56927,Baixa,298.8,310.1,1481.0,47.4,187.0,0.0,Sem falha
M19787,Média,303.5,312.3,1543.0,33.3,71.0,0.0,Sem falha
M23273,Média,298.6,309.7,1422.0,49.7,139.0,0.0,Sem falha
B56203,Baixa,297.4,308.3,1706.0,30.9,9.0,0.0,Sem falha
B51780,Baixa,303.0,311.0,1359.0,44.2,115.0,1.0,Superaquecimento
B48274,Baixa,296.9,307.5,1354.0,44.4,16.0,0.0,Sem falha
M22333,Média,300.3,311.6,1304.0,62.8,118.0,0.0,Sem falha
B53693,Baixa,301.1,310.0,1513.0,38.0,17.0,0.0,Sem falha
B51659,Baixa,302.6,310.2,1923.0,21.5,18.0,0.0,Sem falha
B47966,Baixa,296.9,308.1,1741.0,28.8,60.0,0.0,Sem falha
B56446,Baixa,298.2,308.9,1737.0,25.5,26.0,0.0,Sem falha
B50401,Baixa,300.6,309.6,1423.0,49.1,74.0,0.0,Sem falha
B47835,Baixa,297.7,309.1,1435.0,38.8,165.0,0.0,Sem falha
B51239,Baixa,301.9,310.8,1465.0,44.3,57.0,0.0,Sem falha
B47990,Baixa,296.9,307.7,1550.0,39.7,124.0,0.0,Sem falha
B55845,Baixa,297.6,308.7,1365.0,50.6,143.0,0.0,Sem falha
B50882,Baixa,302.0,311.2,1434.0,44.9,15.0,0.0,Sem falha
B48839,Baixa,298.1,308.0,1697.0,31.0,164.0,0.0,Sem falha
M17085,Média,299.7,309.0,1465.0,49.0,158.0,0.0,Sem falha
B47327,Baixa,298.4,308.4,1515.0,40.1,179.0,0.0,Sem falha
A30932,Alta,298.2,309.0,1371.0,55.7,23.0,0.0,Sem falha
M16501,Média,298.0,308.0,1555.0,37.0,111.0,0.0,Sem falha
B51352,Baixa,302.2,310.6,1386.0,50.0,132.0,0.0,Sem falha
B52204,Baixa,303.9,313.1,1639.0,29.0,95.0,0.0,Sem falha
B55950,Baixa,297.4,308.6,1680.0,32.8,200.0,0.0,Sem falha
A32655,Alta,300.9,309.5,1469.0,43.4,126.0,0.0,Sem falha
B54337,Baixa,300.2,310.0,1486.0,40.1,182.0,0.0,Sem falha
A37206,Alta,300.1,311.4,1485.0,40.4,75.0,0.0,Sem falha
B54541,Baixa,299.5,310.0,1502.0,38.5,52.0,0.0,Sem falha
B54527,Baixa,299.6,310.2,1627.0,36.6,17.0,0.0,Sem falha
B48458,Baixa,298.2,309.4,1398.0,52.9,79.0,0.0,Sem falha
B51154,Baixa,302.4,311.5,1505.0,37.9,79.0,0.0,Sem falha
B53147,Baixa,300.4,310.8,1390.0,52.5,144.0,0.0,Sem falha
B52604,Baixa,302.6,312.2,1377.0,45.5,54.0,0.0,Sem falha
A29626,Alta,298.4,308.7,1344.0,52.9,130.0,0.0,Sem falha
A37115,Alta,300.8,311.7,1468.0,38.7,39.0,0.0,Sem falha
A29812,Alta,297.4,308.3,1502.0,43.6,169.0,0.0,Sem falha
B52444,Baixa,303.4,312.8,1376.0,53.4,98.0,0.0,Sem falha
B55671,Baixa,298.5,309.5,1579.0,38.6,126.0,0.0,Sem falha
M24522,Média,299.1,310.1,1570.0,30.9,226.0,0.0,Sem falha
A29707,Alta,298.1,308.5,1392.0,44.8,111.0,0.0,Sem falha
B47837,Baixa,297.7,309.2,1365.0,58.6,170.0,0.0,Sem falha
M23275,Média,298.7,309.9,1434.0,53.0,144.0,0.0,Sem falha
A37675,Alta,299.2,310.6,1434.0,48.4,153.0,0.0,Sem falha
B50359,Baixa,300.1,309.3,1570.0,36.8,189.0,0.0,Sem falha
B57071,Baixa,298.8,309.5,1374.0,48.1,159.0,0.0,Sem falha
M18821,Média,302.2,311.4,1642.0,32.1,42.0,0.0,Sem falha
B51428,Baixa,302.6,311.0,1506.0,37.2,95.0,0.0,Sem falha
B53130,Baixa,300.7,310.8,1689.0,28.9,100.0,0.0,Sem falha
M23005,Média,299.7,310.9,1685.0,32.1,88.0,0.0,Sem falha
M19774,Média,303.5,312.3,1532.0,41.7,32.0,0.0,Sem falha
M24479,Média,298.9,310.0,1323.0,52.9,106.0,0.0,Sem falha
B52089,Baixa,303.5,312.4,1481.0,43.7,20.0,0.0,Sem falha
M22544,Média,300.7,311.8,1407.0,42.4,224.0,0.0,Sem falha
M17138,Média,299.3,308.7,1459.0,35.6,87.0,0.0,Sem falha
B53972,Baixa,301.2,310.6,1811.0,24.0,84.0,0.0,Sem falha
M21361,Média,300.9,310.0,1600.0,36.0,204.0,0.0,Sem falha
M23877,Média,297.3,308.1,1369.0,52.0,214.0,0.0,Sem falha
M19954,Média,304.1,313.5,1470.0,45.8,85.0,0.0,Sem falha
M18773,Média,302.4,311.4,1675.0,29.6,128.0,0.0,Sem falha
B56322,Baixa,297.6,308.5,1678.0,34.2,114.0,0.0,Sem falha
M23585,Média,297.1,308.5,1515.0,42.1,81.0,0.0,Sem falha
B54478,Baixa,300.1,310.5,1532.0,36.0,109.0,0.0,Sem falha
M20698,Média,301.4,311.2,1476.0,36.5,25.0,0.0,Sem falha
M18754,Média,302.3,311.2,1432.0,42.7,68.0,0.0,Sem falha
M17625,Média,299.9,309.4,1399.0,54.8,3.0,0.0,Sem falha
B55941,Baixa,297.5,308.8,1417.0,49.8,177.0,0.0,Sem falha
B52757,Baixa,302.4,312.1,1455.0,40.4,28.0,0.0,Sem falha
B53718,Baixa,301.4,310.7,1487.0,44.6,88.0,0.0,Sem falha
M14894,Média,298.8,309.1,1559.0,34.7,95.0,0.0,Sem falha
B54404,Baixa,299.8,309.6,1598.0,31.0,139.0,0.0,Sem falha
M23634,Média,297.6,308.7,1408.0,51.5,4.0,0.0,Sem falha
B51322,Baixa,301.7,310.1,1424.0,50.2,54.0,0.0,Sem falha
M19457,Média,303.0,311.1,1490.0,43.0,108.0,0.0,Sem falha
B50925,Baixa,302.6,311.4,1738.0,25.8,128.0,0.0,Sem falha
B52268,Baixa,304.0,313.1,1465.0,41.0,69.0,0.0,Sem falha
A31983,Alta,299.5,309.2,1872.0,22.6,162.0,0.0,Sem falha
